Laboratório,EAN 1,Produto (Dosagem),Classe Terapêutica
Aspen Pharma,7895858016210,Glatus (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Aspen Pharma,7895858016227,Glatus (100 ui/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Equilibrio,8905056006407,Semglee (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Equilibrio,8905056006421,Semglee (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Medley,7891058020323,"Toujeo (300 u/ml / 1,5 ml)","Insulinas humanas e análogos, ação longa"
Medley,7891058025137,Lantus (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Medley,7891058009205,Lantus (100 u/ml / 10 ml),"Insulinas humanas e análogos, ação longa"
Medley,7891058003029,Lantus (100 u/ml / 3 ml),"Insulinas humanas e análogos, ação longa"
Medley,7891058016371,Lantus (100 u/ml / 3ml),"Insulinas humanas e análogos, ação longa"
Medley,7891058020958,"Soliqua (100 u/ml / 0,05 mg / 3 ml)",Outras insulinas humanas
Medley,7891058020965,"Soliqua (100 u/ml / 0,033 mg / 3 ml)",Outras insulinas humanas
Nordisk Farmacêutica,7897705202364,"Xultophy (100 u/ml / 3,6 mg / 3 ml)",Outras insulinas humanas
Nordisk Farmacêutica,7897705202371,"Xultophy (100 u/ml / 3,6 mg / 3 ml)",Outras insulinas humanas
Nordisk Farmacêutica,7897705202388,"Xultophy (100 u/ml / 3,6 mg / 3 ml)",Outras insulinas humanas
Ems,7896004706474,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
1Farma,7898075310376,Glibeneck (5 mg),Antidiabéticos sulfonilouréias puros
1Farma,7898075312288,Glibeneck (5 mg),Antidiabéticos sulfonilouréias puros
1Farma,7898075317061,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Aché Laboratórios,7896181905509,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004707945,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862910556,Gliconil (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862917616,Gliconil (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862923297,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862923303,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862923310,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medquimica,7896862923327,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Furp,7895005802574,Furp-glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Furp,7895005807517,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Multilab,7895296272018,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Prati Donaduzzi,7898148297269,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523213989,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Geolab,7899095201781,Glicamin (5 mg),Antidiabéticos sulfonilouréias puros
Geolab,7899095210899,Glicamin (5 mg),Antidiabéticos sulfonilouréias puros
Geolab,7899095249707,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714217093,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714266695,Glionil (5 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7894916141024,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medley,7896422522571,Glibenclamida (5 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058212070,Daonil (5 mg),Antidiabéticos sulfonilouréias puros
Torrent,8902220106079,Azukon mr (30 mg),Antidiabéticos sulfonilouréias puros
Ems,7896004762319,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Ems,7896004724577,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Ems,7896004752730,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Ems,7896004762364,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Torrent,8903855076034,Azukon mr (30 mg),Antidiabéticos sulfonilouréias puros
Torrent,8903855082745,Azukon mr (30 mg),Antidiabéticos sulfonilouréias puros
Torrent,8903855082455,Azukon mr (30 mg),Antidiabéticos sulfonilouréias puros
Torrent,8902220119574,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Torrent,8903855076812,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004764450,Clazi xr (30 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004764467,Clazi xr (30 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004752914,Clazi xr (30 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004764474,Clazi xr (60 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004764481,Clazi xr (60 mg),Antidiabéticos sulfonilouréias puros
Germed,7896004752921,Clazi xr (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552128,Diamicron (30 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552135,Diamicron (30 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552180,Diamicron (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552203,Diamicron (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552210,Diamicron (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552241,Diatarcom mr (30 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552258,Diatarcom mr (30 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552234,Diatarcom mr (30 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552296,Diatarcom mr (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552302,Diatarcom mr (60 mg),Antidiabéticos sulfonilouréias puros
Laboratorios Servier,7898029552319,Diatarcom mr (60 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922380,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922397,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922403,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922410,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922915,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076922922,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076923356,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Ranbaxy Farmacêutica,7897076923363,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360260,Dicazid mr (30 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360307,Dicazid mr (30 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360604,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360611,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360635,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Pharlab,7898216360659,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523202068,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523202075,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Sun Farmacêutica,7898272945821,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Sun Farmacêutica,7898272945838,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714294520,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714294537,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714294551,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Brainfarma,7896714294544,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7894916149174,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7894916145336,Gliclazida (30 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7894916149181,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7894916340458,Gliclazida (60 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764498,Dagli (30 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764504,Dagli (30 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764511,Dagli (30 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764528,Dagli (60 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764535,Dagli (60 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004764542,Dagli (60 mg),Antidiabéticos sulfonilouréias puros
Eurofarma,7891317436322,Betes (4 mg),Antidiabéticos sulfonilouréias puros
Eurofarma,7891317436346,Betes (1 mg),Antidiabéticos sulfonilouréias puros
Eurofarma,7891317436339,Betes (2 mg),Antidiabéticos sulfonilouréias puros
Eurofarma,7891317421823,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Eurofarma,7891317000066,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Sandoz,7897595604729,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Sandoz,7897595604736,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Ems,7896004711232,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Ems,7896004731216,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Ems,7896004711218,Glimepirida (1mg),Antidiabéticos sulfonilouréias puros
Ems,7896004711225,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Ems,7896004736808,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Farmoquímica,7898040320607,Glimepil (1 mg),Antidiabéticos sulfonilouréias puros
Farmoquímica,7898040320560,Glimepil (2 mg),Antidiabéticos sulfonilouréias puros
Farmoquímica,7898040320614,Glimepil (4 mg),Antidiabéticos sulfonilouréias puros
Farmoquímica,7898040320997,Glimepil (6 mg),Antidiabéticos sulfonilouréias puros
1Farma,7898075315746,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
1Farma,7898075315777,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Aché Laboratórios,7896181909378,Glimepirida (1 mg),Antidiabéticos sulfonilouréias puros
Aché Laboratórios,7896181909552,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Aché Laboratórios,7896181909484,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Germed,7895296394017,Diabemed (4mg),Antidiabéticos sulfonilouréias puros
Germed,7895296446587,Diabemed (1mg),Antidiabéticos sulfonilouréias puros
Germed,7895296394024,Diabemed (2mg),Antidiabéticos sulfonilouréias puros
Germed,7896004771021,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Germed,7896004711201,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Germed,7896004730523,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Germed,7896004770970,Glimepirida (1mg),Antidiabéticos sulfonilouréias puros
Germed,7896004770987,Glimepirida (1mg),Antidiabéticos sulfonilouréias puros
Germed,7896004711157,Glimepirida (1mg),Antidiabéticos sulfonilouréias puros
Germed,7896004770994,Glimepirida (1mg),Antidiabéticos sulfonilouréias puros
Germed,7896004771007,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Germed,7896004771014,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Germed,7896004711164,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Germed,7896004731001,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Prati Donaduzzi,7899547513349,Glimepirida (1 mg),Antidiabéticos sulfonilouréias puros
Prati Donaduzzi,7899547513479,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Prati Donaduzzi,7899547513738,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523210926,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523211039,Glimepirida (2mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523210940,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Cimed,7896523227580,Glimepirida (4mg),Antidiabéticos sulfonilouréias puros
Geolab,7899095256231,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Geolab,7899095256200,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Accord,7898902274246,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Accord,7898902274253,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004721606,Gliansor (4mg),Antidiabéticos sulfonilouréias puros
Legrand Pharma,7896004721590,Gliansor (2mg),Antidiabéticos sulfonilouréias puros
Medley,7896422505291,Glimepirida (1 mg),Antidiabéticos sulfonilouréias puros
Medley,7896422505307,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Medley,7896422505314,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Medley,7896422513517,Glimepirida (4 mg),Antidiabéticos sulfonilouréias puros
Medley,7896422513463,Glimepirida (2 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058159054,Amaryl (1 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058007249,Amaryl (6 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058160067,Amaryl (2 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058007201,Amaryl (3 mg),Antidiabéticos sulfonilouréias puros
Medley,7891058005221,Amaryl (4 mg),Antidiabéticos sulfonilouréias puros
Merck,7891721027437,Glifage (850 mg),Antidiabéticos biguanidas puros
Merck,7891721000614,Glifage (500 mg),Antidiabéticos biguanidas puros
Merck,7891721044137,Glifage (1 g),Antidiabéticos biguanidas puros
Merck,7891721017711,Glifage (850 mg),Antidiabéticos biguanidas puros
Merck,7891721022326,Glifage (850 mg),Antidiabéticos biguanidas puros
Merck,7891721017704,Glifage (500 mg),Antidiabéticos biguanidas puros
Merck,7891721022333,Glifage (500 mg),Antidiabéticos biguanidas puros
Merck,7891721017728,Glifage (1 g),Antidiabéticos biguanidas puros
Merck,7891721022340,Glifage (1 g),Antidiabéticos biguanidas puros
Merck,7891721022074,Glifage (850 mg),Antidiabéticos biguanidas puros
Merck,7891721022081,Glifage (850 mg),Antidiabéticos biguanidas puros
Merck,7891721021978,Glifage (500 mg),Antidiabéticos biguanidas puros
Merck,7891721022067,Glifage (500 mg),Antidiabéticos biguanidas puros
Merck,7891721027406,Cloridrato de metformina (850 mg),Antidiabéticos biguanidas puros
Merck,7891721238123,Cloridrato de metformina (500 mg),Antidiabéticos biguanidas puros
Merck,7891721238239,Cloridrato de metformina (500 mg),Antidiabéticos biguanidas puros
Merck,7891721238246,Cloridrato de metformina (850 mg),Antidiabéticos biguanidas puros
Merck,7891721238253,Cloridrato de metformina (1g),Antidiabéticos biguanidas puros
Merck,7891721024016,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013201,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721201806,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013225,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013232,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013249,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013256,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721013263,Glifage xr (500 mg),Antidiabéticos biguanidas puros
Merck,7891721027444,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022258,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022265,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721027451,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022289,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022296,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022302,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022319,Glifage xr (750 mg),Antidiabéticos biguanidas puros
Merck,7891721022562,Glifage xr (1 g),Antidiabéticos biguanidas puros
Merck,7891721022579,Glifage xr (1 g),Antidiabéticos biguanidas puros
Merck,7891721022586,Glifage xr (1 g),Antidiabéticos biguanidas puros
